RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023,9/30/2023,10/31/2023,11/30/2023,12/31/2023,1/31/2024,2/29/2024
394591,539,"Fergus Falls, MN",msa,MN,131743.464,131446.6626,130748.3725,130392.8506,130377.3784,130494.1191,130594.2957,130550.0749,130355.3323,130427.6319,130711.4911,131149.5038,131709.7195,132522.1064,134010.3863,135204.9678,136247.9092,136322.3676,136164.5753,136578.2907,137834.0202,139559.6098,140977.0429,142050.3873,143635.2055,145364.2141,147387.9244,148543.7837,149188.7022,149420.3411,149304.2535,149238.4004,149068.101,149655.6418,150584.4255,151470.0051,151999.8221,152393.7946,153071.2187,153753.2449,154283.4245,154633.9721,155343.4412,156664.2218,158768.591,161317.3015,164130.3361,166874.2508,169459.6551,172486.6904,175573.7237,179090.5695,182934.7439,187362.5829,191372.5333,193984.1271,195876.2272,197348.8555,198850.9885,199593.0412,200322.7059,201546.106,203374.1495,205725.9717,207719.8966,210309.1826,211841.3078,212050.2329,210406.9977,208939.587,208379.8034,207932.2558,207585.1832,207600.7965,208083.3292,208591.4721,209155.7223,210138.4324,211195.2986,211547.2922,211598.1389,211438.2909,211599.6322,211453.754,211799.4414,212410.3104
394362,540,"Barre, VT",msa,VT,112528.3981,112277.3166,111811.2458,112130.6667,112914.0305,113507.7986,113885.4036,113988.506,114332.4637,114689.6421,114712.8994,114352.745,114221.9559,114883.2828,116029.2883,116859.8044,117635.5429,117757.2539,118132.7618,118399.1517,119064.1249,119370.6573,119276.6514,119187.7669,118896.9833,118727.1041,118242.4289,117858.4303,117694.985,117829.8123,118516.0891,119388.5493,120493.8384,121405.0508,122156.2101,122745.5539,123421.2639,124190.9336,125167.6772,126122.3933,126746.6868,126817.3579,127005.5887,127592.9416,128834.4804,130231.2345,131742.9345,133613.9806,135786.8918,138633.9151,141600.0009,144510.799,147291.994,150375.6084,153406.36,155950.0001,158083.528,159851.0134,161697.8561,163045.7784,165592.1214,168763.1838,172859.5377,177368.136,181813.6454,185872.1944,187507.4919,187332.26,185372.8558,183990.6594,183223.5422,183420.201,183745.4617,184343.8853,185922.2723,188139.7453,190774.0249,193711.5321,196680.0317,199587.6127,201661.0408,202800.5657,203795.7597,204544.5268,206355.617,208672.3913
394618,541,"Fremont, OH",msa,OH,58139.50321,58403.65553,58325.52108,58112.07548,57870.92685,57754.23163,57886.92525,58148.14353,58501.68706,58795.42077,59018.68221,59129.88302,59124.61536,59086.15908,59335.90321,59781.56522,60329.04401,60623.26315,60833.39671,60938.80587,61110.79305,61322.83438,61939.00103,62747.55229,64006.97709,65526.67348,67407.7648,69050.45566,70082.33454,70537.13916,70652.96926,70617.46174,70446.38719,70184.803,70198.81415,70406.39556,70555.88232,70425.41438,70291.27008,70416.3572,70711.8776,70479.33446,69919.19725,69512.83428,70051.33278,71232.73668,72584.92962,73601.03565,74231.08431,74729.3402,75492.21352,76423.04753,77623.796,78969.51892,79914.47148,80559.92064,80454.02957,80633.02184,80721.2257,81102.77682,81627.42632,82391.86892,83048.11417,83462.04322,83436.65909,83736.67122,84078.39733,84310.92376,84034.26812,83947.58956,84203.65244,84723.94977,84989.62731,85034.72336,85246.31041,86143.13961,87758.9461,89837.57742,91710.69183,92812.27602,93232.1743,93536.90823,94230.39938,94864.54984,95247.43476,95589.90967
394939,542,"Oneonta, NY",msa,NY,81826.68414,82052.30007,82098.82709,82005.80488,81873.33878,81699.26555,81969.31671,82344.5418,82850.85184,83168.94513,83618.08253,84157.72856,84710.94163,84987.02452,85028.04682,85164.6763,85587.32117,86322.10915,86889.8002,87288.84169,87458.93848,87418.88612,87542.93639,87992.85469,88928.89175,90017.91073,91243.80047,92048.44072,92554.24176,92694.14282,93128.57953,93850.59195,94565.73935,95463.80802,96356.49018,97376.07595,98137.30788,98610.433,98783.23158,99158.23873,99214.24799,99009.88289,98580.2822,98834.69998,100273.112,102484.3152,105134.9499,107490.7324,108981.4186,110071.1376,110894.4635,111676.6232,112932.2171,114665.4669,116231.8201,116957.8081,116786.3584,116894.1607,117225.0138,117742.8697,118874.095,120528.6633,122877.9364,125226.5564,127228.7857,129052.9755,130219.7052,130785.5411,130595.1145,130486.8067,130436.9853,130275.0319,129731.8227,129038.139,129311.4193,130362.7041,132131.0109,133944.2026,135397.8137,136244.2477,136586.3768,136821.3942,137186.9422,137293.5924,137123.4078,136844.5879
394923,544,"Norwalk, OH",msa,OH,67144.43169,67087.9154,67062.22875,67072.8408,66872.21751,66640.50218,66842.05762,67579.69758,68590.71774,69284.2215,69629.01632,69577.50421,69014.18616,67977.8796,67243.63362,67149.11316,67590.10229,67760.13721,67763.73272,67890.9178,68428.53215,69053.06086,69671.58903,70097.32065,71039.52016,72572.84928,74835.37247,76523.67044,77466.50964,77747.58663,77973.84577,78104.96719,78069.46488,78105.79369,78483.61029,78845.80837,79058.01124,79041.44961,79230.94388,79803.36056,80497.66014,80257.35424,79319.64045,78541.61357,79119.56486,80482.59794,81905.51888,83107.64554,83880.88575,84325.39234,84690.92695,85213.74662,86389.38571,87809.04034,88822.33806,88912.73881,88312.67648,88162.03064,88507.76446,88948.25656,89885.70986,90792.95067,91548.87548,91656.82224,91458.83153,92175.96648,93151.90218,94231.26491,94738.12669,95346.42201,95805.51384,95880.72659,95041.50661,94152.88652,93861.59067,94436.80493,95460.60811,96275.31955,96956.49699,97864.54114,99026.43983,100302.9164,101618.3713,102746.9597,103419.213,104055.9766
394365,545,"Batavia, NY",msa,NY,63458.09167,63789.05876,63945.91111,64178.62002,64250.66993,64195.33259,64309.2087,64531.58879,64897.04796,65009.60316,65030.68294,65158.25536,65403.66203,65799.10918,66150.39902,66457.02216,66684.57209,67002.75099,67558.56757,68088.97496,68587.60844,68597.90923,68534.26241,68286.98741,68128.4839,68077.75809,68452.22316,69040.54057,69810.10959,70417.0207,70929.47581,71287.60517,71591.98072,72066.0468,72612.3432,73109.93241,73880.61169,74422.03997,74873.49273,75788.67337,76667.50485,77277.58523,77033.46163,77200.85597,78260.11794,79834.82764,81635.4814,83312.22966,84498.0694,85716.92629,87088.55179,88704.97686,90461.01327,92185.41067,93394.6187,93838.95068,93243.87875,92929.34224,92764.53964,93107.56621,93802.36604,94719.96664,95842.60614,96734.81404,97673.88878,98916.06564,100186.2687,100979.0879,100940.3405,100561.5888,100048.1195,99489.55953,98515.51731,97378.14755,96861.32861,97425.5258,98635.19097,100055.583,101114.0186,102332.8939,103487.1706,104786.7231,105947.5318,106438.2234,106520.314,106261.9663
394336,546,"Ardmore, OK",msa,OK,41299.15586,41358.98982,41459.13825,41334.76802,41137.55431,40918.88831,41084.47184,41412.92139,41741.4674,42110.71522,42437.412,42759.3164,43258.77236,43804.98477,44322.13868,44619.94951,44611.87471,44371.84134,44179.371,44195.69112,44482.03077,44589.51534,44687.42646,44695.47722,44733.98013,44865.88303,45108.52525,45300.28536,45533.61175,45690.50451,45611.97264,45299.75815,45063.03537,45208.24457,45635.09249,46158.95969,46738.46155,47401.48763,47970.32513,48588.35508,48887.33583,48884.4215,48764.75932,48980.14288,50008.85521,51320.57259,52662.63828,53634.16675,54390.57981,55065.7874,55919.82535,56682.03676,57340.55338,58014.6753,58525.80834,59230.33831,59829.44334,60970.79078,62325.63626,63566.83979,64723.13233,65675.26916,66920.57267,67928.22838,68563.88871,68921.95907,69427.20765,70308.24287,71247.20041,71895.94016,72102.57756,71747.21072,71329.34297,70915.29753,70842.62639,71077.98761,71554.16073,71990.03451,72067.20649,71769.6973,71423.61848,71245.99417,71609.0584,72086.52496,72414.0515,72607.34779
394605,548,"Fort Madison, IA",msa,IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45757.62508,45539.267,45397.50792,45297.10435,45736.62431,46547.84064,47389.41187,47737.8007,47820.42893,47701.48189,47453.91111,46862.23608,46141.91397,45760.19272,45804.14453,46039.95997,46339.61325,46521.55618,46526.52426,46201.91269,46053.34953,46284.8873,46543.64772,46685.8404,46598.5374
394592,550,"Fernley, NV",msa,NV,117387.6798,118538.1214,120090.0004,121781.7475,123634.2047,125171.968,126695.9846,128695.9913,131879.3325,135450.2568,138782.098,140760.6782,142146.3627,143450.9944,145850.4221,148964.0646,152924.6548,156434.4418,159848.1152,162401.332,164351.5087,164782.5735,164495.4064,164935.8315,165964.132,167621.4824,168476.028,169596.6448,171152.9651,173131.1773,175224.144,177298.1955,178582.5619,179629.8663,179977.8382,180410.3127,182352.6904,186239.0676,191352.542,195087.6138,196859.9675,197254.2248,198070.7698,199600.5129,202897.21,206160.3765,209377.9819,211190.4687,211667.51,212926.6195,214962.2919,220075.3987,226015.5064,232942.2657,237930.7318,239970.4901,239652.9922,238537.6732,238554.2507,239109.5028,241292.7518,243875.2502,248003.0759,251678.2317,254740.8462,256578.0751,256191.3856,254901.4664,251988.4189,249245.4127,245878.7344,242261.3152,237872.9895,233195.4059,228864.2637,226233.5887,224167.8327,222553.9896,220801.8803,219842.6609,219629.9146,219316.5542,219479.7175,219447.8869,218828.154,217401.5086
394444,551,"Carson City, NV",msa,NV,113119.4576,115163.0449,117581.7735,119614.2323,120958.5169,121930.3891,122790.8677,124196.2331,126132.9369,129190.4838,132507.6294,135756.8224,138124.5502,140375.0295,142929.6221,145439.602,148099.1196,150429.1084,152939.4332,154980.8769,156549.6672,157899.6018,159260.5617,160838.4028,162245.9105,163469.151,164346.9539,165281.7554,166069.0545,166617.7682,167359.2151,168358.154,169618.4956,170178.7265,170776.18,171674.7726,175178.9386,180384.3533,186504.1546,191252.7809,194556.4457,195456.2585,195867.2594,197046.7274,199294.4859,201766.4227,204270.8654,207762.9861,211266.6963,214510.9925,218338.4668,222450.8877,227160.8855,231925.2992,236808.6903,240479.3446,242449.3792,243455.3428,244529.9521,245644.5852,247497.6903,250293.469,254299.5626,258411.6159,261167.3377,263273.1406,263517.3841,262453.0324,259968.7891,258346.3619,257081.262,255752.2692,253097.356,250010.4846,247320.0228,246278.3541,246068.241,246472.8597,247141.9439,249656.6245,253449.4729,258320.5653,262035.958,263831.2727,262707.4465,260586.3903
